德尚世家 大南山脚下高端别墅，上下三层，样板房装修,6室2厅,267.47平米,"			共1层
		
",南北,2012年建,前海二手房,德尚世家 (德尚世家花园),"
          "
香榭里花园二期 新出房源 精装修 2室2厅 业主诚心卖,2室2厅,125.27平米,"				低层/13层
		
",北,2003年建,香蜜湖二手房,香榭里花园二期,"
          "
幸福城三期 欧式园林小区漂亮，精装修复式三层六房，户型好，方正,6室2厅,89.82平米,"				高层/32层
		
",南,2015年建,龙华中心二手房,幸福城三期 (幸福城润园三期),"
          "
南海玫瑰园二期 满五年 本在手 大花园 拎包入住 格局大气 ,4室2厅,130.65平米,"				低层/18层
		
",西南,2005年建,蛇口二手房,"南海玫瑰园二期 (南海玫瑰花园二期,玫瑰花园二期)","
          "
中海塞纳时光 大运新城精装3房，中间楼层， 小区环境很好,3室2厅,75.56平米,"				高层/24层
		
",北,2010年建,大运新城二手房,中海塞纳时光 (中海康城花园二期),"
          "
九州家园一期 精装3房业主诚意出售,3室2厅,125.14平米,"				中层/10层
		
",南,2002年建,龙岗双龙二手房,九州家园一期 (九州家园),"
          "
华业玫瑰郡 华业玫瑰郡，一房一厅，诚心出售,1室1厅,41.26平米,"				高层/11层
		
",南,2008年建,龙岗中心城二手房,华业玫瑰郡,"
          "
鸿威de森林 龙岗后花园，高拓4房2厅1卫大阳台，送40平,4室2厅,144平米,"				中层/23层
		
",南北,2014年建,龙岗中心城二手房,鸿威de森林 (鸿威鸿景华庭),"
          "
金叶茗苑 体育馆生活圈 精装四房 送大平台 满五惟一,5室2厅,142.37平米,"				高层/14层
		
",东北,2000年建,翻身二手房,金叶茗苑,"
          "
万科时代广场 品牌商开发自带精装修地铁站物业 楼下是万科大型商业,2室2厅,68平米,"				低层/32层
		
",东北,2015年建,龙岗中心城二手房,万科时代广场 (万科广场V寓),"
          "
"阳光粤海 毛坯三房，可随心装修,房本在手无欠款",3室2厅,95.27平米,"				低层/35层
		
",东北,2016年建,"
          "
八十步海寓 顶层复式，豪华装修，看房方便。,4室4厅,253.44平米,"				高层/5层
		
",南,2012年建,梅沙二手房,"八十步海寓 (钜业玫瑰园,海丽晶商住园)","
          "
半岛苑 花园中间安静大两房 可改三房 税少看房方便,2室2厅,77.67平米,"				中层/11层
		
",南,2000年建,布吉大芬二手房,半岛苑 (东方半岛花园B区),"
          "
拾悦城 沙井站 楼层采光好.不正对地铁噪音较小.,3室2厅,80.88平米,"				高层/32层
		
",南,2019年建,沙井二手房,拾悦城,"
          "
九号公馆九誉 靠山复式5套房 前后双阳台 三面采光 南北通透,5室2厅,181.78平米,"				低层/30层
		
",南,1996年建,曦城二手房,"九号公馆九誉 (中海九号公馆九誉,尖岗山名苑二期)","
          "
广物花园 后海广物花园方正三房。,3室2厅,109.95平米,"				高层/8层
		
",北,1995年建,蛇口二手房,广物花园,"
          "
金色都汇 高鼎两房、顶高大气、全新装修、业主诚心出售,2室2厅,67.63平米,"				高层/30层
		
",东南,2004年建,春风路二手房,金色都汇 (冠懋金色都汇),"
          "
万科第五园八期 高楼层精装大三房 朝南看山看水 红本在手,3室2厅,89.29平米,"				高层/18层
		
",南,2009年建,坂田二手房,万科第五园八期 (第五园八期),"
          "
港澳8号 精装两房，不限购不限贷，业主诚心放卖,1室1厅,49.01平米,"				高层/36层
		
",南,2012年建,东门二手房,港澳8号 (港丰大厦),"
          "
半山溪谷 楼梯3房 带装修 小区安静 满2年 红本在手,3室2厅,61.81平米,"				中层/5层
		
",东,2004年建,盐田二手房,半山溪谷 (中海半山溪谷花园),"
          "
前海时代广场CEO公馆 前海自贸区 花园社区 看房海景珍藏品,4室2厅,163.36平米,"				中层/11层
		
",南,2015年建,前海二手房,前海时代广场CEO公馆,"
          "
雅庭名苑 一楼的花园，复式五房，精装修，南北通透,5室2厅,213.54平米,"				低层/7层
		
",南,2002年建,龙岗中心城二手房,雅庭名苑,"
          "
宇宏健康花城 高端小区，装修好，高负氧离子的生态宜居社区,3室2厅,89.22平米,"				中层/33层
		
",西,2016年建,布吉大芬二手房,宇宏健康花城 (岭宏健康家园),"
          "
和兴花园二期 实验学校电梯三房两卫税少满五年龙城公园旁边,3室2厅,101.7平米,"				低层/11层
		
",西南,2002年建,龙岗中心城二手房,"和兴花园二期 (和盛苑,和兴花园)","
          "
金中环商务大厦 业主诚心在售 精装修 格局方正实用 投.资自用皆可,1室0厅,53.38平米,"				中层/23层
		
",北,2005年建,福田中心区二手房,金中环商务大厦 (金中环大厦),"
          "
8克拉 坪山行政服务大厅后面公寓大单间 视野开阔通透性好,1室0厅,36.28平米,"				高层/8层
		
",南,2015年建,坪山二手房,8克拉 (启兴配套生活区),"
          "
君临天下 豪华装修楼层高,1室2厅,76.05平米,"				高层/45层
		
",西,2013年建,车公庙二手房,君临天下 (君临天下名苑),"
          "
立新花园二期 东门晒布，两房一厅，业主诚心卖,2室1厅,51.25平米,"				中层/14层
		
",东南,1990年建,东门二手房,立新花园二期 (立新花园),"
          "
香诗美林花园 改善型三房 背山面海 景观很好 而且住家很安静,3室2厅,117.11平米,"				低层/33层
		
",西北,2005年建,竹子林二手房,香诗美林花园,"
          "
信义锦绣花园 精装修 朝花园大三房  高层 采光好 诚心卖,3室2厅,94.06平米,"				高层/11层
		
",东,2007年建,横岗二手房,信义锦绣花园,"
          "
圆梦园 圆梦园120平大三房，红本满五年，税费少,3室2厅,119.61平米,"				中层/11层
		
",南北,2000年建,保税区二手房,圆梦园 (碧翠府邸圆梦园),"
          "
承翰海语山林 葵涌二小旁，精装3房诚心出售。,3室2厅,88平米,"				高层/16层
		
",东南,2009年建,葵涌二手房,承翰海语山林 (海语山林花园),"
          "
丽湖花园 实用一房一厅  业主诚心出售,1室1厅,35平米,"				中层/18层
		
",东南,1997年建,布吉水径二手房,丽湖花园,"
          "
万科天誉 临三馆一城 地段媲美万象城 万科实验学校,4室2厅,123.26平米,"				高层/40层
		
",东南,2017年建,龙岗中心城二手房,"万科天誉 (万科天誉花园二期,天誉花园二期,天誉city mall)","
          "
皇御苑三期 御花园少有大3房出售 双大阳台 ,3室2厅,107.05平米,"				低层/25层
		
",南北,2008年建,皇岗二手房,"皇御苑三期 (御花园,皇御苑C区)","
          "
风临国际 三号线吉祥站物业，简装一房可办公可住家，新亚洲可用,1室0厅,47.62平米,"				中层/29层
		
",南,2008年建,龙岗中心城二手房,"风临国际 (鸿基花园三期,风临域)","
          "
东方盛世 人车分流，花园小区，业主诚心出售 车位充足！,3室2厅,96.23平米,"				高层/16层
		
",南,2007年建,布吉关二手房,东方盛世 (东方盛世花园),"
          "
熙园 顶楼复式5房架构四房的价格公园景观安静，带露台,5室3厅,172.63平米,"				高层/11层
		
",南北,2004年建,香蜜湖二手房,熙园,"
          "
旭飞华达园一期 水贝珠宝商圈楼下是沃尔玛，高楼层朝向采光通风效果好,1室1厅,33.8平米,"				高层/21层
		
",南,2000年建,百仕达二手房,"旭飞华达园一期 (华达园一期,旭飞华达园)","
          "
城市天地广场 毗邻万象城 高层精装一房 畅享成熟配套 无税,1室0厅,57.51平米,"				中层/41层
		
",北,2005年建,人民南二手房,城市天地广场,"
          "
嘉宾花园 嘉宾花园三房两厅双阳台，采光好通风三个电梯五户,3室2厅,94.2平米,"				中层/28层
		
",西,1992年建,万象城二手房,嘉宾花园,"
          "
圆梦园 福田保税区3号门，质素物业，花园小区，地铁公交直达,4室2厅,139.57平米,"				高层/16层
		
",南,2000年建,保税区二手房,圆梦园 (碧翠府邸圆梦园),"
          "
东埔海景花园一期 东埔海景花园一期，高绿化园林区，一线海景房，环境好,3室2厅,116平米,"				中层/8层
		
",东南,1998年建,沙头角二手房,"东埔海景花园一期 (海景花园一期,东埔海景花园)","
          "
鸿隆世纪广场 方正实用三房近地铁税费少,3室1厅,97.5平米,"				低层/35层
		
",北,2010年建,地王二手房,鸿隆世纪广场,"
          "
万科广场 位置好 地铁连廊 精致装修 大阳台 东南朝向 ,3室2厅,127.27平米,"				高层/41层
		
",南,2014年建,龙岗中心城二手房,"万科广场 (万科天誉公馆,万科大厦,万科天誉中央广场)","
          "
东门町广场 罗湖老街 周边配套齐全小户型总价低上车盘,1室1厅,35.17平米,"				高层/13层
		
",北,1999年建,东门二手房,东门町广场 (南塘商业广场),"
          "
椰树花园 3房2厅 89.98平 七号线旁 位置安静 采光好,3室2厅,89.98平米,"				中层/8层
		
",东,1996年建,新洲二手房,椰树花园,"
          "
华业玫瑰四季 红本在手，满2年，商业成熟，双地铁，公园在旁边,3室2厅,88.37平米,"				中层/32层
		
",南,2015年建,红山二手房,华业玫瑰四季 (华业玫瑰四季馨园一期),"
          "
大世纪水山缘 必看丨精品房源 满五年 费用少 全南大两房,2室2厅,66.25平米,"				中层/11层
		
",南,2000年建,布吉南岭二手房,大世纪水山缘,"
          "
蔚蓝海岸二期 蔚蓝海岸2期，177平南北通大4房，花园中间,4室2厅,177.3平米,"				高层/18层
		
",南,2002年建,后海二手房,蔚蓝海岸二期 (蔚蓝海岸社区二期),"
          "
德意名居 位置安静、朝向好、采光好、户型方正、看房方便,3室2厅,86.81平米,"				高层/18层
		
",南,2009年建,大学城二手房,德意名居 (德意名居一期),"
          "
财富港 一套赠一套，住宅，1号线坪洲口200米,2室1厅,61.57平米,"				高层/33层
		
",南,2010年建,西乡二手房,财富港 (财富港大厦),"
          "
中加名园一期 百合外国语对面 舒适小区 性价比电梯房 已改三房,3室2厅,73.91平米,"				中层/7层
		
",南,2002年建,布吉关二手房,中加名园一期 (中加名园),"
          "
华业玫瑰郡 华业玫瑰郡南北通透四房，诚心出售，满五年，看房方便,3室1厅,154平米,"				低层/32层
		
",南,2008年建,龙岗中心城二手房,华业玫瑰郡,"
          "
阳光明居 翠园中学精致二房 居住舒适 ,2室1厅,55.02平米,"				低层/12层
		
",北,2002年建,布心二手房,阳光明居 (布心阳光明居),"
          "
盛景国际 新出房源 精致小户型 业主诚心卖 看房方便,1室1厅,46.58平米,"				低层/34层
		
",南,2005年建,竹子林二手房,盛景国际 (越众越海家园),"
          "
布吉中心花园 104平大三房楼旺买到赚到高楼层,3室2厅,104.1平米,"				高层/30层
		
",东南,2004年建,布吉街二手房,布吉中心花园,"
          "
东方瑞景苑 沃尔玛楼上，住家3房、平岗中学对面,3室2厅,89.13平米,"				低层/27层
		
",东北,2000年建,龙岗双龙二手房,东方瑞景苑 (世纪新城),"
          "
满京华喜悦里华庭 精装四房，满五年唯1，高楼层视野好,4室2厅,88.53平米,"				高层/32层
		
",南,2013年建,龙岗中心城二手房,"满京华喜悦里华庭 (满京华盈丰中心,满京华喜悦里(1-2)期)","
          "
鼎太风华七期 标准2房，安静看花园,2室2厅,69.03平米,"				低层/11层
		
",北,2008年建,前海二手房,鼎太风华七期 (鼎太风华社区七期),"
          "
通新岭 房子户型方正，精致装修。,3室2厅,93.04平米,"				高层/6层
		
",南,1980年建,华强北二手房,通新岭 (通新岭新村),"
          "
融湖中心城二期 精装4房 南北通透 楼层好 朝南,3室2厅,89平米,"				中层/31层
		
",南,2014年建,平湖二手房,融湖中心城二期 (融湖时代花园),"
          "
中海塞纳时光 大运新城片区 环境优雅 优质2房 ,2室2厅,75.25平米,"				高层/20层
		
",南,2010年建,大运新城二手房,中海塞纳时光 (中海康城花园二期),"
          "
翠薇园住宅楼 育才二小二中实用2房，户型方正，送入户花园，新装修,2室1厅,58.5平米,"				高层/7层
		
",东南,1989年建,蛇口二手房,翠薇园住宅楼,"
          "
世金汉宫 国贸附近 精装修 复试两房 租金高,2室1厅,49.79平米,"				高层/23层
		
",北,2004年建,万象城二手房,"世金汉宫 (世界金融中心,世金国际)","
          "
半岛苑 好房两房两厅 住家装修 环境优雅 满五红本在手,2室2厅,66.21平米,"				高层/7层
		
",南,2000年建,布吉大芬二手房,半岛苑 (东方半岛花园B区),"
          "
峰荟 峰荟花园 精美复式两房家私电齐全拎包入住 送管理费,2室1厅,54.78平米,"				高层/26层
		
",南,2013年建,光明二手房,"峰荟 (奥园峰荟,峰荟创智特区,峰荟花园二期,峰荟时代科技中心)","
          "
栖游家园 小复式，温馨3房，诚心出售,3室1厅,87.49平米,"				低层/34层
		
",南,2013年建,蛇口二手房,栖游家园,"
          "
阳光带海滨城二期 精致2房 安静花园大社区 南外学 位可用,2室2厅,84平米,"				低层/25层
		
",东,2011年建,科技园二手房,"阳光带海滨城二期 (深圳湾锦缎之滨,深圳湾彩虹之岸)","
          "
璞岸 精装修复试一线海景房，大阳台，拎包入住-看房方便,3室2厅,79.48平米,"				高层/23层
		
",南,2014年建,大鹏二手房,"璞岸 (璞岸花园,PURE33璞岸)","
          "
森威大厦 精装一房一室 租金回报高,1室0厅,46平米,"				中层/19层
		
",西,2000年建,春风路二手房,森威大厦,"
          "
福华大厦 精装大三房，业主急用钱诚心出售，楼层采光都不错,3室2厅,114.88平米,"				高层/20层
		
",南,1988年建,福永二手房,福华大厦,"
          "
国展苑  交通便利 户型方正实用 满五年  采光通风好。,2室1厅,54.76平米,"				中层/30层
		
",西,1997年建,布吉关二手房,国展苑,"
          "
恒大国香山花园 罗湖后花园 精装大三房 赠送20平拎包入住,3室2厅,89.6平米,"				低层/42层
		
",东南,2014年建,布吉南岭二手房,恒大国香山花园 (国香山花园),"
          "
西城品阁 端头位复式小四房，业主自住全新装修，满5年税费少！,4室1厅,43.55平米,"				低层/8层
		
",西北,2008年建,新安二手房,西城品阁,"
          "
景洲大厦 小区两栋适宜住家，带电梯高层建筑莲花山旁边,3室2厅,99平米,"				低层/31层
		
",西南,1998年建,景田二手房,景洲大厦 (振业景洲大厦),"
          "
天悦龙庭 豪装4室2厅满五年红本在手带车位南北通透,4室2厅,172.63平米,"				中层/28层
		
",西南,2005年建,宝安中心区二手房,"天悦龙庭 (天悦龙庭二期,龙光天悦龙庭二期)","
          "
汇龙天下 地铁物业，满五年，红本在手，精装修,3室2厅,88.6平米,"				高层/26层
		
",南,2010年建,龙岗中心城二手房,汇龙天下 (泽洋园),"
          "
银泉花园 业主急卖 精装修的三房 朝南采光好看房方便！,3室2厅,45.42平米,"				中层/11层
		
",南,2000年建,龙华中心二手房,银泉花园,"
          "
鲸山九期 太子湾招商高层住宅  统一装修,4室2厅,202平米,"				高层/28层
		
",南,2014年建,后海二手房,"鲸山九期 (鲸山别墅九期,鲸山花园九期)","
          "
上城世家 3房2厅 173平 普通装修 南北,3室2厅,173.13平米,"				低层/31层
		
",南北,2002年建,笋岗二手房,"上城世家 (嘉宝田花园三期,嘉宝田花园(二期))","
          "
桂芳园六期 朝西南 看园景 住家安静舒适 空中花园已做两层,3室2厅,95.12平米,"				中层/18层
		
",西南,2004年建,布吉大芬二手房,桂芳园六期,"
          "
"碧海云天二期 带车位,东南向，视野开阔",4室2厅,155.38平米,"				低层/28层
		
",南,2003年建,华侨城二手房,"碧海云天二期 (红树东方家园,碧海云天小区)","
          "
南粤山庄 3房2厅1卫  待拆物业  业主急售,3室2厅,117.8平米,"				中层/8层
		
",南,1995年建,南油二手房,南粤山庄,"
          "
南洋大厦 精装两房 采光好  户型方正 繁华地段 租可抵贷 ,2室1厅,51.58平米,"				高层/28层
		
",东北,1983年建,春风路二手房,南洋大厦,"
          "
壹克拉 两房 近九年一贯制实验学校精装标准大两房,2室2厅,66.31平米,"				中层/28层
		
",南,2010年建,龙岗中心城二手房,"壹克拉 (家和盛世花园二期,家和盛世花园)","
          "
可园二期 可园顶楼复式 买一层送一层  朝南看花园,4室2厅,83.15平米,"				高层/23层
		
",南,2005年建,布吉关二手房,可园二期 (可园),"
          "
中海康城国际 朝南大三房 安静不吵 看房方便,3室2厅,88平米,"				低层/34层
		
",东南,2010年建,大运新城二手房,中海康城国际 (中海康城花园),"
          "
翰岭院 南北通透双向大阳台，位置安静，税费少,3室2厅,111.09平米,"				低层/24层
		
",南北,2004年建,梅林二手房,翰岭院 (翰岭花园),"
          "
万科城M区 御水湾大别墅 豪华装修，位置安静，南北通透,7室4厅,246.43平米,"				高层/1层
		
",东南,2008年建,坂田二手房,万科城M区 (万科城四期M区),"
          "
缔馨园 朝南一房，户型方正，看房方便,1室1厅,42.26平米,"				中层/18层
		
",南,1997年建,石厦二手房,缔馨园,"
          "
特丰楼 3号线地铁物业，三房，郊区白菜价格！,3室2厅,113.74平米,"				高层/8层
		
",东,1996年建,龙岗中心城二手房,特丰楼 (特丰综合楼),"
          "
和通花园 精装修  三房 住家安静舒适,3室2厅,85.75平米,"				高层/7层
		
",东北,1992年建,布吉大芬二手房,和通花园,"
          "
万科公园里二期 万科朝南精装大四房，楼层好，诚意出售,4室2厅,145.2平米,"				高层/31层
		
",南,2012年建,布吉南岭二手房,"万科公园里二期 (公园里二期,公园里花园二期)","
          "
逸湖居 深中未用 看房方便 普通装修 5室2厅1厨2卫,5室2厅,151.68平米,"				高层/23层
		
",西,2001年建,翠竹二手房,逸湖居,"
          "
翠薇园住宅楼 精装三房二厅 赠送面积大,3室2厅,58.5平米,"				低层/7层
		
",东南,1989年建,蛇口二手房,翠薇园住宅楼,"
          "
南海玫瑰园二期 南海玫瑰园二期 高实用率 户型通透 看海景,3室2厅,127.81平米,"				高层/18层
		
",南,2005年建,蛇口二手房,"南海玫瑰园二期 (南海玫瑰花园二期,玫瑰花园二期)","
          "
富通城一期 住家大二房税少诚心卖很好的户型实用率高,2室2厅,73.06平米,"				高层/6层
		
",东,2006年建,碧海二手房,"富通城一期 (缤纷世界花园,碧海富通城)","
          "
新华社宿舍楼 楼梯房使用率超高，户型方正。配套成熟。,3室2厅,109.69平米,"				高层/7层
		
",东,1992年建,翠竹二手房,新华社宿舍楼,"
          "
富通城五期碧海公馆 满五年  豪华装修大五房 带大平台花园 赠送率超高,5室2厅,131.78平米,"				低层/17层
		
",西北,2009年建,碧海二手房,富通城五期碧海公馆 (碧海富通城),"
          "
前海东岸 花园式高端小区 大阳台视野无遮挡 采光好 送入户,3室2厅,88.5平米,"				低层/38层
		
",南,2016年建,南头二手房,前海东岸,"
          "
荔雅居  登良路上 来福士旁 安静 花园小区 居家不二之选,2室2厅,74.16平米,"				中层/11层
		
",北,2002年建,南油二手房,荔雅居,"
          "
皇御苑一期 南北通 奢阔 7房 诚心放售 ,7室2厅,159.51平米,"				高层/35层
		
",东南,2000年建,皇岗二手房,皇御苑一期 (皇御苑A区),"
          "
西海湾花园 海岸城附近花园大社区精装四房,4室2厅,137.38平米,"				低层/18层
		
",南,2002年建,后海二手房,西海湾花园,"
          "
中粮世家 央企大品牌 价格美丽,5室2厅,62.53平米,"				中层/32层
		
",南,2013年建,坪山二手房,中粮世家 (中粮一品澜山花园),"
          "
碧湖花园(罗湖) 洪湖公园旁安静带洪湖桂园中学,2室2厅,91.44平米,"				低层/35层
		
",东,1995年建,洪湖二手房,碧湖花园(罗湖),"
          "
天泽花园 花园小区绿化比高一房一厅精装朝南中层,1室2厅,50平米,"				低层/13层
		
",西南,1999年建,皇岗二手房,天泽花园,"
          "
东方半岛花园 电梯2房，中间楼层，看花园，业主急房,2室2厅,70.96平米,"				中层/12层
		
",南,1998年建,布吉大芬二手房,东方半岛花园,"
          "
远洋新干线一期二期 近地铁次新小区+通燃气有阳台+实用俩房+月租抵月供,2室1厅,46.84平米,"				高层/32层
		
",南,2012年建,龙岗中心城二手房,远洋新干线一期二期,"
          "
世界花园海华居 华侨城欢乐谷，万科物业，车位充足，诚心出售随时看房,4室2厅,146.43平米,"				低层/23层
		
",东北,1996年建,华侨城二手房,世界花园海华居 (海华居),"
          "
东方明珠城 精装三房     诚心出售 ,2室2厅,70.94平米,"				中层/32层
		
",西南,2007年建,龙岗中心城二手房,东方明珠城 (榭丽花园三期),"
          "
鸿威de森林 144平大5房 南北通高层 豪华装修 看房方便急售,5室2厅,144.28平米,"				高层/31层
		
",南,2014年建,龙岗中心城二手房,鸿威de森林 (鸿威鸿景华庭),"
          "
水晶之城一期 地鉄口 精致装修 三房两卫 满五唯/一 大社区,3室2厅,98平米,"				中层/6层
		
",西南,2001年建,横岗二手房,水晶之城一期 (水晶之城),"
          "
桐景花园 莲南成熟生活社区 配套完善 交通便利 ,3室2厅,99.6平米,"				低层/29层
		
",南,2002年建,莲塘二手房,桐景花园,"
          "
鸿翔花园 不限购不限贷实用温馨小户 适合单身白领选择,1室0厅,44.59平米,"				中层/28层
		
",南,2005年建,地王二手房,鸿翔花园,"
          "
万科第五园八期 精装三房 厅出阳台 位置安静,3室2厅,79.34平米,"				低层/20层
		
",东北,2009年建,坂田二手房,万科第五园八期 (第五园八期),"
          "
铂金时代 急售，急售，急售，价格实惠，08年新小区，一房一厅,1室1厅,35.43平米,"				中层/31层
		
",东,2004年建,罗湖口岸二手房,铂金时代 (铂金时代公寓),"
          "
粤宝花园一期 红本在手，看房方便 ，业主自己在住保养好,3室2厅,70平米,"				高层/8层
		
",南,1984年建,布吉街二手房,粤宝花园一期 (粤宝花园),"
          "
睿智华庭 大运新城地biao对面，带10米大阳台业主诚意出售,5室2厅,140.67平米,"				中层/31层
		
",南,2012年建,大运新城二手房,睿智华庭,"
          "
帝港海湾豪园 高层南向，住家安静，看房方便,2室2厅,61.12平米,"				高层/27层
		
",南,1997年建,保税区二手房,帝港海湾豪园,"
          "
苹果园 一房一厅精装修，朝向南，看房有钥匙，楼层好,2室2厅,76.84平米,"				高层/17层
		
",东,2004年建,深圳北二手房,苹果园,"
          "
京光海景花园 126.06平的4房，业主诚心放卖,4室2厅,126.06平米,"				高层/32层
		
",南,1995年建,"
          "
金城华庭 精装修两房 客厅出阳台,2室2厅,64.13平米,"				高层/24层
		
",南,2003年建,螺岭二手房,金城华庭,"
          "
前海寓见 精装电梯朝南复试三房 户型方正实用 房子装修很好,3室2厅,38平米,"				低层/8层
		
",南北,1993年建,曦城二手房,前海寓见 (恒丰工业城),"
          "
港岛银座 港岛银座 两房两厅 户型方正 装修漂亮,2室2厅,103.31平米,"				高层/33层
		
",南,2006年建,地王二手房,港岛银座 (港岛银座大厦),"
          "
万科清林径 万科清林径三期 赠送30平米 格局好 价格美丽,3室2厅,87.49平米,"				高层/32层
		
",南,2008年建,龙岗中心城二手房,"万科清林径 (千林山居三期,千林山居)","
          "
光明1号 1号超级笋盘，满两年，业主诚心出售,3室2厅,79.5平米,"				低层/33层
		
",西南,2017年建,公明二手房,光明1号 (盛迪嘉光明壹号花园),"
          "
怡景别墅 罗湖豪宅 怡景别墅 身份的象征 交通方便 住家舒适,18室6厅,521.5平米,"			共1层
		
",南,1987年建,黄贝岭二手房,怡景别墅 (怡景花园),"
          "
阳光带海滨城一期 科技园科苑 大三房一手业主,3室2厅,138.71平米,"				中层/29层
		
",南,2002年建,科技园二手房,阳光带海滨城一期 (深圳湾锦缎之滨),"
          "
佳兆业前海广场 小南山脚下品牌社区 精装5房 景观迷人视野开阔靠山,5室2厅,110.3平米,"				高层/32层
		
",南,2014年建,前海二手房,佳兆业前海广场 (山海美域花园),"
          "
运河蓝湾家园 地鉄口次新房 站在阳台看公园 有靠山的房子就是好,2室2厅,79.4平米,"				低层/17层
		
",南,2013年建,龙岗双龙二手房,运河蓝湾家园,"
          "
万科四季花城三期 顶楼大复式带天台洋房 ，阔气奢华，位置安静，景观好,6室2厅,158.4平米,"				高层/3层
		
",南,2001年建,坂田二手房,万科四季花城三期 (四季花城三期),"
          "
星海名城五期 好房好配套星海名城5期朝南,2室1厅,40.13平米,"				高层/32层
		
",南,2006年建,前海二手房,星海名城五期 (第五公社),"
          "
缔梦园 285万可以卖 价格便宜 就这么一套,1室1厅,40.25平米,"				低层/16层
		
",北,1999年建,景田二手房,缔梦园,"
          "
桃源居十四区 安静小区电梯大三房 ,3室2厅,102.47平米,"				低层/9层
		
",南,1999年建,桃源居二手房,桃源居十四区 (桃源居14区),"
          "
海悦华城 福田双口岸 地铁物业 高层 朝南景观好,3室2厅,89平米,"				高层/35层
		
",西南,2000年建,皇岗二手房,海悦华城 (裕亨花园),"
          "
中城康桥花园二期 东南向 精装修三房  住家十分舒适,3室2厅,83.23平米,"				中层/18层
		
",东南,2002年建,丹竹头二手房,中城康桥花园二期 (康桥花园二期),"
          "
半岛城邦三期 南北通4房，少有的户型，朝南看海景。,4室2厅,140.6平米,"				低层/45层
		
",西南,2016年建,蛇口二手房,半岛城邦三期 (半岛城邦花园三期),"
          "
东海岸二期 5室2厅1厨2卫 165.0m² 精致装修,5室2厅,165平米,"				中层/9层
		
",南,2006年建,梅沙二手房,"东海岸二期 (万科东海岸二期,万科东海岸社区第二期)","
          "
宝能悦澜山 精装修  住家舒适 看房方便,4室2厅,89平米,"				低层/29层
		
",南,2014年建,龙岗中心城二手房,宝能悦澜山 (悦澜山花园),"
          "
龙园苑 住家安静，单价低，诚心出售。,2室2厅,72.48平米,"				高层/12层
		
",西,2000年建,黄贝岭二手房,龙园苑,"
          "
半岛城邦三期 前排海景2房2厅1卫三面观海满2年税费少,2室2厅,84.6平米,"				低层/45层
		
",南,2016年建,蛇口二手房,半岛城邦三期 (半岛城邦花园三期),"
          "
富通城三期 11号线地铁站，近精装修大三房,3室1厅,65.84平米,"				低层/26层
		
",东北,2007年建,碧海二手房,"富通城三期 (生活立方,碧海富通城)","
          "
皇达东方雅苑 精装修，大两房，大阳台，户型方正，双地铁，车位充足,2室2厅,77.62平米,"				低层/31层
		
",南,2002年建,石厦二手房,皇达东方雅苑,"
          "
鸿基花园 精装三房，诚意出售。,3室2厅,102平米,"				低层/7层
		
",南,1998年建,龙岗中心城二手房,"鸿基花园 (鸿基花园一期,龙岗鸿基花园)","
          "
布吉阳光花园 电梯大两房，满五年家庭只一套，红本在手过户快,2室2厅,74.68平米,"				高层/32层
		
",北,2001年建,布吉街二手房,"布吉阳光花园 (祺峰华庭,阳光花园)","
          "
半岛城邦一期 东南看海景 客厅主卧双阳台 满5年 业主诚心卖,3室2厅,146.76平米,"				低层/27层
		
",南,2006年建,蛇口二手房,半岛城邦一期 (半岛城邦花园一期),"
          "
龙园印象名苑 住家装修 3房 朝东看龙园公园,3室2厅,73.38平米,"				中层/15层
		
",东,2007年建,龙岗双龙二手房,龙园印象名苑 (劲嘉龙园印象名苑),"
          "
东海花园二期 安静看花园163.79平 朝南向 带阳台精致装修,3室2厅,163.79平米,"				中层/31层
		
",西南,2000年建,香蜜湖二手房,东海花园二期 (东海花园福禄居),"
          "
罗湖金岸 精装修，二房二厅，南向,2室2厅,62.1平米,"				中层/33层
		
",南,2001年建,人民南二手房,罗湖金岸,"
          "
